Vehicle,Arrival Time,Payment Type,Exit Time,Wait Time
Kendaraan-1,1.2750753590935011,electronic,5.275075359093501,0.0
Kendaraan-2,1.3067364078969248,electronic,5.306736407896925,0.0
Kendaraan-3,1.7087664879906317,electronic,5.708766487990632,0.0
Kendaraan-4,2.0244992200782734,electronic,6.024499220078273,0.0
Kendaraan-5,3.691490061088377,electronic,7.691490061088377,0.0
Kendaraan-6,5.102956322086618,electronic,9.102956322086618,0.0
Kendaraan-7,7.887066446525843,electronic,11.887066446525843,0.0
Kendaraan-8,8.00075695228405,electronic,12.00075695228405,0.0
Kendaraan-9,8.685814651529663,electronic,12.685814651529663,0.0
Kendaraan-10,8.72362737303886,electronic,12.72362737303886,0.0
Kendaraan-11,9.032023242988641,electronic,13.032023242988641,0.0
Kendaraan-12,9.911917652821334,electronic,13.911917652821334,0.0
Kendaraan-13,9.945535657421718,electronic,15.887066446525843,1.9415307891041245
Kendaraan-14,10.22265024387632,electronic,16.00075695228405,1.77810670840773
Kendaraan-15,11.534515245404535,electronic,16.68581465152966,1.151299406125128
Kendaraan-16,12.518676813207536,electronic,16.72362737303886,0.2049505598313246
Kendaraan-17,12.829959836916066,electronic,17.032023242988643,0.20206340607257545
Kendaraan-18,13.94222071979327,electronic,17.94222071979327,0.0
Kendaraan-19,16.01439333757214,electronic,20.01439333757214,0.0
Kendaraan-20,16.022543298264974,electronic,20.022543298264974,0.0
Kendaraan-21,18.071250625878164,electronic,22.071250625878164,0.0
Kendaraan-22,19.56848805209502,electronic,23.56848805209502,0.0
Kendaraan-23,20.088356910218245,electronic,24.088356910218245,0.0
Kendaraan-24,20.29958974532733,electronic,24.29958974532733,0.0
Kendaraan-25,24.238993055875213,electronic,28.238993055875213,0.0
Kendaraan-26,24.751954218226565,electronic,28.751954218226565,0.0
Kendaraan-27,24.87362003240151,electronic,28.87362003240151,0.0
Kendaraan-28,25.00076838864605,electronic,29.00076838864605,0.0
Kendaraan-29,27.351460565687475,electronic,31.351460565687475,0.0
